,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,5772,181,614,588,528,503,411,334,326,234,222,1831,TRENDS IN NEUROSCIENCES
2, ,ALL OTHERS (523),523,17,47,57,49,43,40,25,22,22,11,190,TRENDS IN NEUROSCIENCES
3,5.971,J NEUROSCI,400,4,25,29,30,33,35,26,29,32,26,131,TRENDS IN NEUROSCIENCES
4,14.319,NEURON,235,4,24,23,25,28,17,19,16,8,9,62,TRENDS IN NEUROSCIENCES
5,9.504,P NATL ACAD SCI USA,186,5,19,19,7,20,7,7,21,18,8,55,TRENDS IN NEUROSCIENCES
6,41.577,NATURE,179,4,15,15,20,8,14,7,13,11,5,67,TRENDS IN NEUROSCIENCES
7,19.912,NAT NEUROSCI,163,3,18,20,21,15,9,12,8,9,6,42,TRENDS IN NEUROSCIENCES
8,41.058,SCIENCE,143,3,12,7,16,9,11,4,8,8,4,61,TRENDS IN NEUROSCIENCES
9,2.502,J NEUROPHYSIOL,129,0,7,8,6,5,7,4,3,3,6,80,TRENDS IN NEUROSCIENCES
10,2.766,PLOS ONE,104,1,12,11,11,22,21,12,7,3,1,3,TRENDS IN NEUROSCIENCES
11,32.635,NAT REV NEUROSCI,103,0,7,12,8,9,10,5,11,9,5,27,TRENDS IN NEUROSCIENCES
12,5.426,NEUROIMAGE,91,11,6,8,14,5,9,8,7,4,4,15,TRENDS IN NEUROSCIENCES
13,6.308,CEREB CORTEX,86,9,11,12,9,9,6,8,0,2,1,19,TRENDS IN NEUROSCIENCES
14,3.400,J COMP NEUROL,85,3,3,2,1,2,2,2,4,3,2,61,TRENDS IN NEUROSCIENCES
15,3.382,NEUROSCIENCE,74,3,6,3,10,4,2,6,5,3,6,26,TRENDS IN NEUROSCIENCES
16,3.125,BRAIN RES,71,1,1,1,2,1,2,1,2,3,5,52,TRENDS IN NEUROSCIENCES
17,31.398,CELL,68,1,8,10,14,8,2,4,2,3,2,14,TRENDS IN NEUROSCIENCES
18,4.011,J BIOL CHEM,62,0,5,1,2,4,9,3,8,0,1,29,TRENDS IN NEUROSCIENCES
19,11.439,TRENDS NEUROSCI,61,2,3,5,4,5,6,3,4,6,5,18,TRENDS IN NEUROSCIENCES
20,10.848,BRAIN,56,0,7,7,2,3,3,4,2,2,2,24,TRENDS IN NEUROSCIENCES
21,15.557,TRENDS COGN SCI,56,2,8,7,5,7,5,4,2,0,1,15,TRENDS IN NEUROSCIENCES
22,2.832,EUR J NEUROSCI,54,1,1,1,7,5,2,5,3,2,1,26,TRENDS IN NEUROSCIENCES
23,4.540,J PHYSIOL-LONDON,51,1,1,2,2,1,6,3,2,1,1,31,TRENDS IN NEUROSCIENCES
