Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"20,061",11.439,11.381,13.581,2.412,51,11.3,6.2,0.027,5.521,0.00,3.13600,95.59400,TRENDS IN NEUROSCIENCES
2016,"19,178",11.124,11.051,13.408,2.086,70,>10.0,5.9,0.02964,6.009,0.00,3.40252,95.94600,TRENDS IN NEUROSCIENCES
2015,"18,656",12.504,12.326,13.470,2.464,69,>10.0,5.9,0.03012,5.928,0.00,3.43318,96.68000,TRENDS IN NEUROSCIENCES
2014,"19,082",13.555,13.404,14.695,2.441,68,>10.0,5.8,0.03363,6.266,0.00,3.76640,97.02400,TRENDS IN NEUROSCIENCES
2013,"18,523",12.902,12.759,14.345,2.534,73,9.9,5.8,0.03683,6.407,0.00,4.05951,97.02400,TRENDS IN NEUROSCIENCES
2012,"17,889",13.582,13.442,14.466,2.315,73,9.5,5.6,0.04062,6.607,0.00,Not Available,97.02400,TRENDS IN NEUROSCIENCES
2011,"17,821",14.235,14.106,14.684,1.950,60,8.8,5.5,0.04569,6.626,0.00,Not Available,97.74600,TRENDS IN NEUROSCIENCES
2010,"17,347",13.320,13.180,14.358,2.339,62,8.5,5.3,0.0509,6.610,0.00,Not Available,97.28000,TRENDS IN NEUROSCIENCES
2009,"16,663",12.794,12.625,14.068,1.700,70,8.3,5.1,0.05649,6.620,1.43,Not Available,97.18600,TRENDS IN NEUROSCIENCES
2008,"16,147",12.817,12.640,14.475,1.925,80,7.9,4.6,0.06325,6.910,0.00,Not Available,97.51100,TRENDS IN NEUROSCIENCES
2007,"15,499",12.479,12.281,14.222,1.737,80,7.6,5.0,0.06032,6.406,0.00,Not Available,97.39300,TRENDS IN NEUROSCIENCES
2006,"15,117",13.494,13.295,Not Available,1.810,84,7.2,5.0,Not Available,Not Available,27.38,Not Available,97.25000,TRENDS IN NEUROSCIENCES
2005,"14,537",14.325,13.987,Not Available,2.108,83,7.0,4.8,Not Available,Not Available,31.33,Not Available,98.25000,TRENDS IN NEUROSCIENCES
2004,"14,615",14.794,14.380,Not Available,1.564,110,6.9,4.6,Not Available,Not Available,34.55,Not Available,98.23200,TRENDS IN NEUROSCIENCES
2003,"14,558",12.631,12.482,Not Available,1.775,111,6.4,4.4,Not Available,Not Available,47.75,Not Available,97.72700,TRENDS IN NEUROSCIENCES
2002,"14,042",14.474,14.286,Not Available,1.536,97,6.1,4.2,Not Available,Not Available,54.64,Not Available,98.22300,TRENDS IN NEUROSCIENCES
2001,"14,013",16.475,16.063,Not Available,1.959,98,5.9,3.8,Not Available,Not Available,31.63,Not Available,98.73700,TRENDS IN NEUROSCIENCES
2000,"14,017",17.417,16.954,Not Available,2.628,94,5.9,4.5,Not Available,Not Available,21.28,Not Available,99.26100,TRENDS IN NEUROSCIENCES
1999,"14,518",19.925,19.503,Not Available,2.781,64,5.6,4.1,Not Available,Not Available,25.00,Not Available,99.25400,TRENDS IN NEUROSCIENCES
1998,"13,614",18.463,18.030,Not Available,3.059,68,5.4,4.7,Not Available,Not Available,25.00,Not Available,99.25700,TRENDS IN NEUROSCIENCES
1997,"12,489",17.084,16.626,Not Available,3.380,79,5.1,4.2,Not Available,Not Available,37.97,Not Available,99.00000,TRENDS IN NEUROSCIENCES
