,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,589,28,116,160,88,79,117,0,0,0,0,1,Translational Neurodegeneration
2,,ALL OTHERS (242),242,10,37,62,44,30,58,0,0,0,0,1,Translational Neurodegeneration
3,4.122,SCI REP-UK,20,0,3,5,5,2,5,0,0,0,0,0,Translational Neurodegeneration
4,5.872,TRANSL NEURODEGENER,10,1,2,1,1,1,4,0,0,0,0,0,Translational Neurodegeneration
5,3.476,J ALZHEIMERS DIS,9,0,4,1,3,1,0,0,0,0,0,0,Translational Neurodegeneration
6,5.193,J NEUROINFLAMM,9,1,2,1,1,0,4,0,0,0,0,0,Translational Neurodegeneration
7,5.076,MOL NEUROBIOL,9,0,2,4,1,0,2,0,0,0,0,0,Translational Neurodegeneration
8,3.902,FRONT MOL NEUROSCI,8,0,3,1,0,4,0,0,0,0,0,0,Translational Neurodegeneration
9,3.687,INT J MOL SCI,8,2,1,2,2,0,1,0,0,0,0,0,Translational Neurodegeneration
10,2.766,PLOS ONE,8,0,1,4,1,1,1,0,0,0,0,0,Translational Neurodegeneration
11,3.582,FRONT AGING NEUROSCI,7,0,1,3,0,0,3,0,0,0,0,0,Translational Neurodegeneration
12,2.371,INT REV NEUROBIOL,6,1,3,2,0,0,0,0,0,0,0,0,Translational Neurodegeneration
13,4.609,J NEUROCHEM,6,1,0,2,0,1,2,0,0,0,0,0,Translational Neurodegeneration
14,2.234,NEURAL REGEN RES,6,0,4,2,0,0,0,0,0,0,0,0,Translational Neurodegeneration
15,4.211,ACS CHEM NEUROSCI,5,1,1,1,0,1,1,0,0,0,0,0,Translational Neurodegeneration
16,6.306,BRAIN BEHAV IMMUN,5,0,0,1,0,1,3,0,0,0,0,0,Translational Neurodegeneration
17,3.508,FRONT NEUROL,5,0,0,0,1,2,2,0,0,0,0,0,Translational Neurodegeneration
18,3.877,FRONT NEUROSCI-SWITZ,5,1,0,1,0,1,2,0,0,0,0,0,Translational Neurodegeneration
19,8.324,MOVEMENT DISORD,5,0,1,1,1,0,2,0,0,0,0,0,Translational Neurodegeneration
20,,ONCOTARGET,5,0,2,1,1,1,0,0,0,0,0,0,Translational Neurodegeneration
21,2.982,AMYOTROPH LAT SCL FR,4,0,2,1,1,0,0,0,0,0,0,0,Translational Neurodegeneration
22,2.084,CNS NEUROL DISORD-DR,4,0,2,0,0,2,0,0,0,0,0,0,Translational Neurodegeneration
23,3.696,EXPERT REV NEUROTHER,4,1,1,1,0,0,1,0,0,0,0,0,Translational Neurodegeneration
24,4.902,HUM MOL GENET,4,1,0,2,0,1,0,0,0,0,0,0,Translational Neurodegeneration
25,2.779,J NEURAL TRANSM,4,0,2,1,0,0,1,0,0,0,0,0,Translational Neurodegeneration
26,11.460,JAMA NEUROL,4,0,2,1,0,0,1,0,0,0,0,0,Translational Neurodegeneration
27,2.772,NEUROCHEM RES,4,0,0,1,1,1,1,0,0,0,0,0,Translational Neurodegeneration
28,2.117,PARKINSONS DIS-US,4,0,1,3,0,0,0,0,0,0,0,0,Translational Neurodegeneration
29,14.163,PROG NEUROBIOL,4,1,0,0,3,0,0,0,0,0,0,0,Translational Neurodegeneration
30,5.015,ALZHEIMERS RES THER,3,0,1,0,0,1,1,0,0,0,0,0,Translational Neurodegeneration
31,5.108,BBA-MOL BASIS DIS,3,0,2,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
32,6.187,BRAIN PATHOL,3,0,0,1,0,1,1,0,0,0,0,0,Translational Neurodegeneration
33,,BRAIN SCI,3,1,2,0,0,0,0,0,0,0,0,0,Translational Neurodegeneration
34,8.032,CELL REP,3,0,1,2,0,0,0,0,0,0,0,0,Translational Neurodegeneration
35,3.289,CURR ALZHEIMER RES,3,0,1,0,0,1,1,0,0,0,0,0,Translational Neurodegeneration
36,2.935,DRUG DES DEV THER,3,0,1,0,1,0,1,0,0,0,0,0,Translational Neurodegeneration
37,4.732,ENVIRON RES,3,1,0,0,1,1,0,0,0,0,0,0,Translational Neurodegeneration
38,2.064,EVID-BASED COMPL ALT,3,0,1,0,0,0,2,0,0,0,0,0,Translational Neurodegeneration
39,2.424,EXCLI J,3,0,1,0,0,1,1,0,0,0,0,0,Translational Neurodegeneration
40,3.394,FRONT PHYSIOL,3,0,0,1,1,1,0,0,0,0,0,0,Translational Neurodegeneration
41,5.846,GLIA,3,0,0,3,0,0,0,0,0,0,0,0,Translational Neurodegeneration
42,1.226,HONG KONG MED J,3,1,0,0,2,0,0,0,0,0,0,0,Translational Neurodegeneration
43,3.622,INT REV CEL MOL BIO,3,0,2,0,1,0,0,0,0,0,0,0,Translational Neurodegeneration
44,2.959,J CELL BIOCHEM,3,0,1,0,1,1,0,0,0,0,0,0,Translational Neurodegeneration
45,7.144,J NEUROL NEUROSUR PS,3,0,1,2,0,0,0,0,0,0,0,0,Translational Neurodegeneration
46,3.098,MOLECULES,3,0,1,0,0,1,1,0,0,0,0,0,Translational Neurodegeneration
47,,MOV DISORD CLIN PRAC,3,2,0,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
48,12.353,NAT COMMUN,3,0,0,2,0,1,0,0,0,0,0,0,Translational Neurodegeneration
49,4.454,NEUROBIOL AGING,3,0,0,2,0,0,1,0,0,0,0,0,Translational Neurodegeneration
50,5.227,NEUROBIOL DIS,3,0,0,1,0,1,1,0,0,0,0,0,Translational Neurodegeneration
51,,NPJ PARKINSON DIS,3,0,1,2,0,0,0,0,0,0,0,0,Translational Neurodegeneration
52,4.721,PARKINSONISM RELAT D,3,0,1,1,0,1,0,0,0,0,0,0,Translational Neurodegeneration
53,15.876,ACTA NEUROPATHOL,2,0,0,1,0,1,0,0,0,0,0,0,Translational Neurodegeneration
54,5.414,ACTA NEUROPATHOL COM,2,1,0,0,0,1,0,0,0,0,0,0,Translational Neurodegeneration
55,8.973,AGEING RES REV,2,0,0,1,0,1,0,0,0,0,0,0,Translational Neurodegeneration
56,12.764,ALZHEIMERS DEMENT,2,0,0,0,0,1,1,0,0,0,0,0,Translational Neurodegeneration
57,4.649,ANN CLIN TRANSL NEUR,2,0,0,1,0,1,0,0,0,0,0,0,Translational Neurodegeneration
58,1.015,ARQ NEURO-PSIQUIAT,2,0,2,0,0,0,0,0,0,0,0,0,Translational Neurodegeneration
59,3.679,BBA-GEN SUBJECTS,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
60,3.173,BEHAV BRAIN RES,2,0,0,2,0,0,0,0,0,0,0,0,Translational Neurodegeneration
61,2.559,BIOCHEM BIOPH RES CO,2,0,0,2,0,0,0,0,0,0,0,0,Translational Neurodegeneration
62,2.361,BIOL TRACE ELEM RES,2,0,1,0,0,0,1,0,0,0,0,0,Translational Neurodegeneration
63,,BIOM NEUR DIS MECHXB,2,0,0,0,2,0,0,0,0,0,0,0,Translational Neurodegeneration
64,3.457,BIOMED PHARMACOTHER,2,0,0,2,0,0,0,0,0,0,0,0,Translational Neurodegeneration
65,10.848,BRAIN,2,0,0,1,0,1,0,0,0,0,0,0,Translational Neurodegeneration
66,3.125,BRAIN RES,2,0,0,1,0,1,0,0,0,0,0,0,Translational Neurodegeneration
67,2.703,BRAIN TOPOGR,2,0,0,1,0,0,1,0,0,0,0,0,Translational Neurodegeneration
68,31.398,CELL,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
69,5.638,CELL DEATH DIS,2,0,0,1,0,0,1,0,0,0,0,0,Translational Neurodegeneration
70,3.895,CELL MOL NEUROBIOL,2,0,0,1,0,1,0,0,0,0,0,0,Translational Neurodegeneration
71,1.596,CHINESE MED J-PEKING,2,0,0,1,0,0,1,0,0,0,0,0,Translational Neurodegeneration
72,3.374,CURR TOP MED CHEM,2,0,0,0,0,1,1,0,0,0,0,0,Translational Neurodegeneration
73,6.395,CYTOKINE GROWTH F R,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
74,13.397,DIABETES CARE,2,0,1,0,1,0,0,0,0,0,0,0,Translational Neurodegeneration
75,4.398,DIS MODEL MECH,2,0,1,0,0,1,0,0,0,0,0,0,Translational Neurodegeneration
76,3.040,EUR J PHARMACOL,2,0,0,1,0,0,1,0,0,0,0,0,Translational Neurodegeneration
77,3.151,EXPERT OPIN DRUG MET,2,0,0,0,0,1,1,0,0,0,0,0,Translational Neurodegeneration
78,5.595,FASEB J,2,1,0,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
79,4.927,HUM BRAIN MAPP,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
80,0.873,IET SYST BIOL,2,0,0,0,0,2,0,0,0,0,0,0,Translational Neurodegeneration
81,2.162,J CHEM NEUROANAT,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
82,3.783,J NEUROL,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
83,2.448,J NEUROL SCI,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
84,3.172,J PARKINSON DIS,2,0,0,1,1,0,0,0,0,0,0,0,Translational Neurodegeneration
85,3.722,J PROTEOMICS,2,0,1,0,1,0,0,0,0,0,0,0,Translational Neurodegeneration
86,,JCI INSIGHT,2,0,0,0,1,1,0,0,0,0,0,0,Translational Neurodegeneration
87,3.234,LIFE SCI,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
88,1.922,MOL MED REP,2,0,1,0,1,0,0,0,0,0,0,0,Translational Neurodegeneration
89,,NEUROL INT,2,0,1,0,0,0,1,0,0,0,0,0,Translational Neurodegeneration
90,1.449,NEUROL RES,2,0,0,1,0,1,0,0,0,0,0,0,Translational Neurodegeneration
91,2.952,NEUROMOL MED,2,0,0,1,1,0,0,0,0,0,0,0,Translational Neurodegeneration
92,2.889,NEUROPSYCHOLOGIA,2,0,0,1,1,0,0,0,0,0,0,0,Translational Neurodegeneration
93,2.159,NEUROSCI LETT,2,0,1,0,0,1,0,0,0,0,0,0,Translational Neurodegeneration
94,3.382,NEUROSCIENCE,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
95,4.936,OXID MED CELL LONGEV,2,0,1,0,1,0,0,0,0,0,0,0,Translational Neurodegeneration
96,4.897,PHARMACOL RES,2,0,0,1,0,0,1,0,0,0,0,0,Translational Neurodegeneration
97,0.783,POSTEP HIG MED DOSW,2,0,0,1,1,0,0,0,0,0,0,0,Translational Neurodegeneration
98,1.762,REV NEUROL-FRANCE,2,0,1,1,0,0,0,0,0,0,0,0,Translational Neurodegeneration
99,2.590,REV NEUROSCIENCE,2,0,0,0,0,1,1,0,0,0,0,0,Translational Neurodegeneration
100,1.870,SEMIN NEUROL,2,0,0,2,0,0,0,0,0,0,0,0,Translational Neurodegeneration
