,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,2882,91,233,278,239,194,217,177,164,141,148,1000,Translational Neurodegeneration
2, ,ALL OTHERS (375),375,21,43,36,29,21,20,22,27,15,23,118,Translational Neurodegeneration
3,8.324,MOVEMENT DISORD,150,4,16,14,14,4,16,8,11,6,7,50,Translational Neurodegeneration
4,8.055,NEUROLOGY,117,1,4,12,5,8,7,1,10,7,4,58,Translational Neurodegeneration
5,10.848,BRAIN,65,1,2,4,4,5,5,3,5,3,3,30,Translational Neurodegeneration
6,4.011,J BIOL CHEM,61,0,2,4,4,7,7,4,5,2,3,23,Translational Neurodegeneration
7,10.250,ANN NEUROL,58,0,3,4,3,2,5,7,1,1,2,30,Translational Neurodegeneration
8,4.721,PARKINSONISM RELAT D,58,1,7,11,13,5,10,1,3,3,2,2,Translational Neurodegeneration
9,5.971,J NEUROSCI,54,0,2,1,5,3,2,2,3,5,4,27,Translational Neurodegeneration
10,9.504,P NATL ACAD SCI USA,53,0,2,4,0,4,5,2,1,1,4,30,Translational Neurodegeneration
11,7.144,J NEUROL NEUROSUR PS,52,1,4,0,6,2,4,0,2,1,4,28,Translational Neurodegeneration
12,41.058,SCIENCE,45,0,3,1,0,1,5,1,0,3,3,28,Translational Neurodegeneration
13,2.766,PLOS ONE,40,0,3,9,7,9,3,5,2,2,0,0,Translational Neurodegeneration
14, ,ARCH NEUROL-CHICAGO,39,0,0,0,0,0,0,7,1,0,2,29,Translational Neurodegeneration
15,41.577,NATURE,36,0,4,3,0,5,1,4,1,0,3,15,Translational Neurodegeneration
16,4.609,J NEUROCHEM,35,1,4,1,3,1,0,5,1,1,3,15,Translational Neurodegeneration
17,14.319,NEURON,35,0,3,4,4,3,4,2,1,2,0,12,Translational Neurodegeneration
18,3.476,J ALZHEIMERS DIS,30,1,6,5,6,4,0,1,4,0,2,1,Translational Neurodegeneration
19,4.454,NEUROBIOL AGING,26,2,1,1,2,0,3,2,0,1,2,12,Translational Neurodegeneration
20,4.483,EXP NEUROL,25,0,2,0,1,3,0,1,4,0,0,14,Translational Neurodegeneration
21,2.448,J NEUROL SCI,25,0,2,3,1,0,2,0,2,2,1,12,Translational Neurodegeneration
22,27.144,LANCET NEUROL,25,2,2,5,3,1,1,2,2,3,2,2,Translational Neurodegeneration
23,5.227,NEUROBIOL DIS,25,3,1,2,3,3,0,3,0,1,0,9,Translational Neurodegeneration
24,3.783,J NEUROL,24,1,2,3,0,2,1,4,1,1,2,7,Translational Neurodegeneration
25,15.876,ACTA NEUROPATHOL,22,1,1,5,6,1,0,1,1,3,0,3,Translational Neurodegeneration
26,31.398,CELL,21,0,1,2,1,2,3,1,3,0,1,7,Translational Neurodegeneration
27,4.902,HUM MOL GENET,20,1,3,0,3,2,2,1,1,0,1,6,Translational Neurodegeneration
28,3.382,NEUROSCIENCE,20,0,3,0,2,1,1,1,0,3,0,9,Translational Neurodegeneration
29,3.490,J NEUROPATH EXP NEUR,19,0,1,0,0,2,1,2,1,2,1,9,Translational Neurodegeneration
30,3.125,BRAIN RES,17,0,0,1,0,1,1,1,0,3,1,9,Translational Neurodegeneration
