,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,2202,104,424,477,395,301,205,231,65,0,0,0,Translational Stroke Research
2,,ALL OTHERS (284),284,9,34,38,54,56,32,46,15,0,0,0,Translational Stroke Research
3,8.266,TRANSL STROKE RES,291,24,121,74,23,21,17,7,4,0,0,0,Translational Stroke Research
4,3.112,CURR DRUG TARGETS,167,0,2,44,74,18,15,11,3,0,0,0,Translational Stroke Research
5,2.078,CURR DRUG DELIV,133,0,18,89,21,4,1,0,0,0,0,0,Translational Stroke Research
6,6.045,J CEREBR BLOOD F MET,57,1,3,15,14,11,1,11,1,0,0,0,Translational Stroke Research
7,4.122,SCI REP-UK,55,2,11,6,7,9,7,11,2,0,0,0,Translational Stroke Research
8,2.583,BIOMED RES INT,52,5,19,12,8,3,2,3,0,0,0,0,Translational Stroke Research
9,3.989,STEM CELLS INT,47,11,32,2,0,1,0,1,0,0,0,0,Translational Stroke Research
10,6.239,STROKE,45,3,11,14,9,2,2,0,4,0,0,0,Translational Stroke Research
11,3.603,NEUROCHEM INT,43,1,4,6,12,7,3,10,0,0,0,0,Translational Stroke Research
12,,ONCOTARGET,34,5,11,6,3,2,5,1,1,0,0,0,Translational Stroke Research
13,2.766,PLOS ONE,34,0,5,3,7,8,4,6,1,0,0,0,Translational Stroke Research
14,,SPR SER TRANSL STROK,30,0,3,6,2,8,0,8,3,0,0,0,Translational Stroke Research
15,2.448,J NEUROL SCI,24,1,2,14,4,0,2,1,0,0,0,0,Translational Stroke Research
16,5.076,MOL NEUROBIOL,24,0,1,5,5,8,0,4,1,0,0,0,Translational Stroke Research
17,2.772,NEUROCHEM RES,24,5,5,2,3,6,1,2,0,0,0,0,Translational Stroke Research
18,3.508,FRONT NEUROL,23,1,4,2,7,4,2,3,0,0,0,0,Translational Stroke Research
19,5.193,J NEUROINFLAMM,23,1,8,6,2,0,3,2,1,0,0,0,Translational Stroke Research
20,3.161,NEURAL PLAST,23,1,10,2,3,0,1,5,1,0,0,0,Translational Stroke Research
21,1.924,WORLD NEUROSURG,22,1,1,0,7,7,1,5,0,0,0,0,Translational Stroke Research
22,,MED GAS RES,19,1,10,3,3,1,1,0,0,0,0,0,Translational Stroke Research
23,6.306,BRAIN BEHAV IMMUN,17,0,8,0,1,5,3,0,0,0,0,0,Translational Stroke Research
24,4.483,EXP NEUROL,16,0,1,9,2,2,1,1,0,0,0,0,Translational Stroke Research
25,2.662,J NEUROSCI RES,15,0,2,1,1,5,2,3,1,0,0,0,Translational Stroke Research
26,5.002,J NEUROTRAUM,15,0,0,1,2,1,3,8,0,0,0,0,Translational Stroke Research
27,1.598,J STROKE CEREBROVASC,15,1,0,3,4,3,4,0,0,0,0,0,Translational Stroke Research
28,3.125,BRAIN RES,14,0,1,4,0,6,0,3,0,0,0,0,Translational Stroke Research
29,3.895,CELL MOL NEUROBIOL,14,0,3,3,1,4,2,1,0,0,0,0,Translational Stroke Research
30,2.885,CELL TRANSPLANT,14,0,4,4,1,1,2,1,1,0,0,0,Translational Stroke Research
31,5.227,NEUROBIOL DIS,14,0,1,6,2,1,3,0,1,0,0,0,Translational Stroke Research
32,4.598,EXPERT OPIN THER TAR,13,1,2,2,4,1,1,2,0,0,0,0,Translational Stroke Research
33,3.902,FRONT MOL NEUROSCI,13,5,3,0,1,2,0,2,0,0,0,0,Translational Stroke Research
34,5.638,CELL DEATH DIS,12,2,4,0,0,3,1,0,2,0,0,0,Translational Stroke Research
35,2.234,NEURAL REGEN RES,11,0,0,2,1,2,1,4,1,0,0,0,Translational Stroke Research
36,3.038,FREE RADICAL RES,10,2,0,7,1,0,0,0,0,0,0,0,Translational Stroke Research
37,3.687,INT J MOL SCI,10,0,1,3,1,3,0,2,0,0,0,0,Translational Stroke Research
38,4.450,J AM HEART ASSOC,10,1,6,0,0,0,2,1,0,0,0,0,Translational Stroke Research
39,4.609,J NEUROCHEM,10,0,2,6,2,0,0,0,0,0,0,0,Translational Stroke Research
40,4.319,J NEUROSURG,10,0,0,3,3,1,1,2,0,0,0,0,Translational Stroke Research
41,2.159,NEUROSCI LETT,10,0,0,0,3,2,0,4,1,0,0,0,Translational Stroke Research
42,5.058,AGING DIS,9,0,2,6,0,0,0,0,1,0,0,0,Translational Stroke Research
43,1.640,J CLIN NEUROSCI,9,0,1,1,0,2,1,3,1,0,0,0,Translational Stroke Research
44,5.971,J NEUROSCI,9,1,1,1,2,2,1,1,0,0,0,0,Translational Stroke Research
45,2.441,METAB BRAIN DIS,9,1,1,2,3,0,1,1,0,0,0,0,Translational Stroke Research
46,4.936,OXID MED CELL LONGEV,9,2,0,0,4,1,0,2,0,0,0,0,Translational Stroke Research
47,3.315,STEM CELLS DEV,9,2,3,0,0,3,0,1,0,0,0,0,Translational Stroke Research
48,3.804,AAPS J,8,0,1,0,4,0,1,2,0,0,0,0,Translational Stroke Research
49,4.300,FRONT CELL NEUROSCI,8,1,1,0,2,0,3,1,0,0,0,0,Translational Stroke Research
50,0.833,INT J CLIN EXP MED,8,0,0,2,1,3,2,0,0,0,0,0,Translational Stroke Research
51,14.163,PROG NEUROBIOL,8,0,0,0,1,4,1,0,2,0,0,0,Translational Stroke Research
52,5.500,CELL PHYSIOL BIOCHEM,7,0,1,0,3,1,0,1,1,0,0,0,Translational Stroke Research
53,2.757,CURR PHARM DESIGN,7,1,0,1,1,0,2,2,0,0,0,0,Translational Stroke Research
54,1.023,J INT MED RES,7,0,0,5,1,1,0,0,0,0,0,0,Translational Stroke Research
55,3.163,NEUROCRIT CARE,7,0,0,2,2,0,0,2,1,0,0,0,Translational Stroke Research
56,2.647,NEUROSURG FOCUS,7,0,3,1,2,1,0,0,0,0,0,0,Translational Stroke Research
57,4.880,TRANSL RES,7,0,0,3,2,0,1,0,1,0,0,0,Translational Stroke Research
58,8.973,AGEING RES REV,6,0,0,1,1,3,1,0,0,0,0,0,Translational Stroke Research
59,3.653,AM J NEURORADIOL,6,0,0,1,4,0,1,0,0,0,0,0,Translational Stroke Research
60,3.495,CNS NEUROSCI THER,6,2,3,0,0,1,0,0,0,0,0,0,Translational Stroke Research
61,4.068,CURR NEUROPHARMACOL,6,0,2,0,0,2,0,2,0,0,0,0,Translational Stroke Research
62,2.454,J MOL NEUROSCI,6,0,0,1,2,0,2,0,1,0,0,0,Translational Stroke Research
63,3.526,J NEUROINTERV SURG,6,0,1,3,1,0,1,0,0,0,0,0,Translational Stroke Research
64,4.082,MAGN RESON MED,6,0,0,0,0,1,5,0,0,0,0,0,Translational Stroke Research
65,19.819,NAT REV NEUROL,6,0,2,1,0,0,3,0,0,0,0,0,Translational Stroke Research
66,4.249,NEUROPHARMACOLOGY,6,0,2,1,1,1,0,1,0,0,0,0,Translational Stroke Research
67,3.382,NEUROSCIENCE,6,0,0,0,2,1,2,0,1,0,0,0,Translational Stroke Research
68,,BRAIN ED MOL MECHXB,5,0,0,0,1,0,2,2,0,0,0,0,Translational Stroke Research
69,3.440,BRAIN RES BULL,5,0,0,0,0,3,2,0,0,0,0,0,Translational Stroke Research
70,15.211,CIRC RES,5,1,1,1,0,0,1,0,1,0,0,0,Translational Stroke Research
71,5.220,CLIN SCI,5,0,2,0,1,1,0,0,1,0,0,0,Translational Stroke Research
72,2.084,CNS NEUROL DISORD-DR,5,0,3,0,1,1,0,0,0,0,0,0,Translational Stroke Research
73,3.582,FRONT AGING NEUROSCI,5,1,1,0,0,1,1,0,1,0,0,0,Translational Stroke Research
74,1.848,INT J NEUROSCI,5,0,0,0,3,2,0,0,0,0,0,0,Translational Stroke Research
75,3.490,J NEUROPATH EXP NEUR,5,0,1,1,1,0,2,0,0,0,0,0,Translational Stroke Research
76,,J NEUROSCI RURAL PRA,5,0,0,0,5,0,0,0,0,0,0,0,Translational Stroke Research
77,4.750,J STROKE,5,0,1,0,2,1,0,0,1,0,0,0,Translational Stroke Research
78,1.449,NEUROL RES,5,0,1,1,1,0,0,2,0,0,0,0,Translational Stroke Research
79,4.475,NEUROSURGERY,5,0,0,1,2,1,1,0,0,0,0,0,Translational Stroke Research
80,2.101,RESTOR NEUROL NEUROS,5,0,3,0,1,1,0,0,0,0,0,0,Translational Stroke Research
81,0.775,TURK NEUROSURG,5,0,0,0,1,3,1,0,0,0,0,0,Translational Stroke Research
82,3.061,AM J TRANSL RES,4,1,1,0,0,0,2,0,0,0,0,0,Translational Stroke Research
83,10.848,BRAIN,4,0,0,1,1,0,0,0,2,0,0,0,Translational Stroke Research
84,5.595,FASEB J,4,0,1,1,1,1,0,0,0,0,0,0,Translational Stroke Research
85,,FLUIDS BARRIERS CNS,4,0,0,1,0,0,1,2,0,0,0,0,Translational Stroke Research
86,5.511,FRONT IMMUNOL,4,0,1,3,0,0,0,0,0,0,0,0,Translational Stroke Research
87,1.396,INT J CLIN EXP PATHO,4,1,0,2,0,1,0,0,0,0,0,0,Translational Stroke Research
88,3.923,J CELL PHYSIOL,4,0,0,1,1,0,0,1,1,0,0,0,Translational Stroke Research
89,2.668,J NEUROSCI METH,4,0,0,0,0,0,1,3,0,0,0,0,Translational Stroke Research
90,1.922,MOL MED REP,4,0,0,0,1,3,0,0,0,0,0,0,Translational Stroke Research
91,2.285,NEUROL SCI,4,0,0,1,2,1,0,0,0,0,0,0,Translational Stroke Research
92,3.612,STEM CELL REV REP,4,0,4,0,0,0,0,0,0,0,0,0,Translational Stroke Research
93,5.587,STEM CELLS,4,0,2,0,0,0,2,0,0,0,0,0,Translational Stroke Research
94,4.649,ANN CLIN TRANSL NEUR,3,1,1,0,0,0,0,1,0,0,0,0,Translational Stroke Research
95,6.086,ARTERIOSCL THROM VAS,3,1,0,1,1,0,0,0,0,0,0,0,Translational Stroke Research
96,3.173,BEHAV BRAIN RES,3,0,0,0,2,0,1,0,0,0,0,0,Translational Stroke Research
97,3.457,BIOMED PHARMACOTHER,3,0,0,1,1,0,0,0,1,0,0,0,Translational Stroke Research
98,2.061,BRAIN INJURY,3,0,1,1,0,0,0,1,0,0,0,0,Translational Stroke Research
99,1.716,CURR NEUROVASC RES,3,0,0,0,1,1,1,0,0,0,0,0,Translational Stroke Research
100,3.224,EXP GERONTOL,3,0,1,0,0,2,0,0,0,0,0,0,Translational Stroke Research
