,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,3632,61,315,412,281,267,282,227,217,212,157,1201,Translational Stroke Research
2, ,ALL OTHERS (425),425,6,25,47,34,43,35,31,26,23,17,138,Translational Stroke Research
3,6.239,STROKE,410,4,20,34,25,26,29,32,23,31,12,174,Translational Stroke Research
4,8.266,TRANSL STROKE RES,291,24,121,74,23,21,17,7,4,0,0,0,Translational Stroke Research
5,6.045,J CEREBR BLOOD F MET,148,2,21,14,8,9,15,8,16,7,8,40,Translational Stroke Research
6,5.971,J NEUROSCI,82,0,0,2,3,3,4,4,6,6,9,45,Translational Stroke Research
7,3.125,BRAIN RES,61,0,4,6,3,5,3,2,1,3,0,34,Translational Stroke Research
8,9.504,P NATL ACAD SCI USA,57,0,3,1,2,3,2,7,6,5,5,23,Translational Stroke Research
9,8.055,NEUROLOGY,53,0,1,3,1,3,6,2,3,3,1,30,Translational Stroke Research
10,41.577,NATURE,50,0,2,2,1,1,12,1,6,3,1,21,Translational Stroke Research
11,79.260,NEW ENGL J MED,47,0,1,27,0,2,0,1,1,0,3,12,Translational Stroke Research
12,10.250,ANN NEUROL,45,0,0,5,1,2,0,5,3,1,3,25,Translational Stroke Research
13,10.848,BRAIN,44,0,1,5,1,1,2,5,0,2,1,26,Translational Stroke Research
14,2.766,PLOS ONE,36,0,2,5,9,3,8,5,0,0,2,2,Translational Stroke Research
15,53.254,LANCET,35,0,6,4,3,0,1,1,2,1,2,15,Translational Stroke Research
16,3.382,NEUROSCIENCE,33,0,2,4,2,3,2,3,4,2,2,9,Translational Stroke Research
17,4.483,EXP NEUROL,32,0,0,9,4,1,3,0,1,2,2,10,Translational Stroke Research
18,18.881,CIRCULATION,31,1,5,4,2,2,3,2,3,1,1,7,Translational Stroke Research
19,27.144,LANCET NEUROL,30,0,0,1,3,1,4,2,2,6,1,10,Translational Stroke Research
20,14.319,NEURON,29,0,0,2,1,0,2,3,8,0,0,13,Translational Stroke Research
21,5.587,STEM CELLS,28,0,4,4,1,1,1,3,6,3,1,4,Translational Stroke Research
22,31.398,CELL,26,0,1,1,0,1,0,0,1,4,1,17,Translational Stroke Research
23,4.011,J BIOL CHEM,26,0,1,0,1,2,3,0,4,1,2,12,Translational Stroke Research
24,5.426,NEUROIMAGE,26,1,1,0,2,1,7,2,2,0,1,9,Translational Stroke Research
25,8.806,BIOMATERIALS,24,0,0,3,1,4,5,1,1,4,2,3,Translational Stroke Research
26,4.475,NEUROSURGERY,24,0,1,0,3,1,1,3,0,3,1,11,Translational Stroke Research
27,41.058,SCIENCE,24,0,1,0,1,0,1,4,0,1,2,14,Translational Stroke Research
28,23.290,CELL STEM CELL,23,2,1,2,1,2,4,2,2,2,5,0,Translational Stroke Research
29,2.662,J NEUROSCI RES,23,0,0,1,5,1,0,0,2,3,2,9,Translational Stroke Research
30,4.319,J NEUROSURG,23,0,2,2,2,1,0,1,1,0,1,13,Translational Stroke Research
31,32.621,NAT MED,22,0,0,0,3,0,0,6,0,1,1,11,Translational Stroke Research
32, ,ACTA NEUROCHIR SUPPL,21,0,5,3,0,4,0,5,0,0,1,3,Translational Stroke Research
33,4.711,NEUROREHAB NEURAL RE,21,0,0,4,2,2,3,0,2,1,5,2,Translational Stroke Research
34,5.193,J NEUROINFLAMM,20,0,4,2,2,4,4,3,0,0,1,0,Translational Stroke Research
35,4.539,J IMMUNOL,19,0,0,0,5,0,3,0,0,0,0,11,Translational Stroke Research
36,2.931,CEREBROVASC DIS,18,0,0,0,1,2,2,4,2,2,1,4,Translational Stroke Research
37,2.832,EUR J NEUROSCI,18,0,1,0,0,1,0,0,2,3,0,11,Translational Stroke Research
38,4.082,MAGN RESON MED,18,0,0,1,1,2,1,1,0,0,0,12,Translational Stroke Research
39,5.227,NEUROBIOL DIS,18,0,2,0,2,2,3,2,2,1,0,4,Translational Stroke Research
40,2.559,BIOCHEM BIOPH RES CO,17,0,0,0,0,2,0,1,2,2,1,9,Translational Stroke Research
41,3.315,STEM CELLS DEV,17,3,1,3,1,3,2,2,0,2,0,0,Translational Stroke Research
42,4.300,FRONT CELL NEUROSCI,16,0,1,4,8,3,0,0,0,0,0,0,Translational Stroke Research
43,4.609,J NEUROCHEM,16,0,2,0,1,1,3,1,2,2,0,4,Translational Stroke Research
44,15.211,CIRC RES,15,0,1,1,1,0,1,1,2,1,1,6,Translational Stroke Research
45,13.251,J CLIN INVEST,15,0,0,1,0,0,0,1,1,0,2,10,Translational Stroke Research
46,4.249,NEUROPHARMACOLOGY,15,0,0,1,1,0,1,0,2,0,8,2,Translational Stroke Research
47,14.163,PROG NEUROBIOL,15,0,2,0,4,1,1,1,0,1,1,4,Translational Stroke Research
48,3.653,AM J NEURORADIOL,14,0,0,2,0,2,0,1,2,2,0,5,Translational Stroke Research
49,2.668,J NEUROSCI METH,14,0,0,1,1,0,1,0,2,1,2,6,Translational Stroke Research
50,15.876,ACTA NEUROPATHOL,13,0,1,3,2,1,0,0,0,0,0,6,Translational Stroke Research
51,15.132,BLOOD,13,0,0,0,1,1,1,0,1,1,1,7,Translational Stroke Research
52,6.810,BRIT J PHARMACOL,13,0,0,1,0,0,3,0,0,2,1,6,Translational Stroke Research
53,3.163,NEUROCRIT CARE,13,0,0,2,2,1,1,1,3,0,3,0,Translational Stroke Research
54,2.159,NEUROSCI LETT,13,0,2,3,0,3,0,1,0,0,0,4,Translational Stroke Research
55,2.448,J NEUROL SCI,12,0,0,2,3,0,2,0,0,0,2,3,Translational Stroke Research
56,19.912,NAT NEUROSCI,12,0,0,0,1,0,1,1,3,1,0,5,Translational Stroke Research
57,2.170,BMC NEUROL,11,0,0,3,0,2,1,3,0,1,0,1,Translational Stroke Research
58,3.614,CLIN NEUROPHYSIOL,11,0,0,0,0,0,1,0,0,0,0,10,Translational Stroke Research
59,3.400,J COMP NEUROL,11,0,0,1,0,1,0,0,0,1,0,8,Translational Stroke Research
60,1.598,J STROKE CEREBROVASC,11,1,0,5,2,1,0,0,0,0,0,2,Translational Stroke Research
61,4.952,THROMB HAEMOSTASIS,11,0,0,0,0,1,1,0,0,0,0,9,Translational Stroke Research
62,3.077,ARCH PHYS MED REHAB,10,0,0,1,0,1,0,0,0,0,0,8,Translational Stroke Research
63,1.806,EXP BRAIN RES,10,1,0,3,0,1,0,0,0,0,0,5,Translational Stroke Research
64,8.655,J AM SOC NEPHROL,10,0,1,1,1,0,0,1,2,0,1,3,Translational Stroke Research
65,2.502,J NEUROPHYSIOL,10,0,0,0,0,1,0,0,0,0,0,9,Translational Stroke Research
66,5.002,J NEUROTRAUM,10,0,4,1,1,0,0,1,0,0,0,3,Translational Stroke Research
67,32.635,NAT REV NEUROSCI,10,0,0,0,0,0,1,0,2,4,0,3,Translational Stroke Research
68,6.086,ARTERIOSCL THROM VAS,9,0,1,0,0,3,0,3,1,0,0,1,Translational Stroke Research
69,2.173,BMC NEUROSCI,9,0,1,0,0,1,1,0,0,4,1,1,Translational Stroke Research
70,6.306,BRAIN BEHAV IMMUN,9,1,2,2,0,1,0,3,0,0,0,0,Translational Stroke Research
71,2.757,CURR PHARM DESIGN,9,0,1,0,1,0,6,1,0,0,0,0,Translational Stroke Research
72,4.621,EUR J NEUROL,9,0,1,1,0,1,2,1,0,0,1,2,Translational Stroke Research
73,3.508,FRONT NEUROL,9,0,0,8,1,0,0,0,0,0,0,0,Translational Stroke Research
74,9.462,GENE DEV,9,0,0,1,0,1,1,0,0,0,0,6,Translational Stroke Research
75,7.144,J NEUROL NEUROSUR PS,9,0,1,1,0,0,0,0,0,0,0,7,Translational Stroke Research
76,1.449,NEUROL RES,9,0,0,0,0,1,1,0,1,1,0,5,Translational Stroke Research
77,3.569,AM J PHYSIOL-HEART C,8,0,1,2,0,1,0,0,1,0,0,3,Translational Stroke Research
78,4.277,ANN NY ACAD SCI,8,0,0,0,0,0,3,0,0,2,1,2,Translational Stroke Research
79,6.630,CRIT CARE MED,8,0,0,0,0,0,1,0,1,1,0,5,Translational Stroke Research
80,7.273,DIABETES,8,0,0,0,0,2,1,1,0,1,1,2,Translational Stroke Research
81,5.846,GLIA,8,0,0,2,1,1,0,1,0,1,0,2,Translational Stroke Research
82,3.859,INT J STROKE,8,0,0,1,4,1,0,0,0,1,0,1,Translational Stroke Research
83,1.266,NEUROREPORT,8,0,0,2,2,0,0,0,0,0,0,4,Translational Stroke Research
84,14.675,ANNU REV NEUROSCI,7,0,0,0,0,1,0,0,0,1,1,4,Translational Stroke Research
85,3.173,BEHAV BRAIN RES,7,1,0,3,0,0,0,1,0,0,0,2,Translational Stroke Research
86,23.562,BMJ-BRIT MED J,7,0,0,0,0,0,1,0,2,0,0,4,Translational Stroke Research
87,3.495,CNS NEUROSCI THER,7,2,1,0,2,0,2,0,0,0,0,0,Translational Stroke Research
88,5.413,DEVELOPMENT,7,0,0,1,2,0,0,0,0,0,1,3,Translational Stroke Research
89,6.823,HYPERTENSION,7,0,0,1,2,0,1,0,0,1,1,1,Translational Stroke Research
90,3.388,INVEST OPHTH VIS SCI,7,0,0,0,0,0,0,1,0,0,0,6,Translational Stroke Research
91,4.224,J LEUKOCYTE BIOL,7,0,0,0,0,0,0,0,4,1,0,2,Translational Stroke Research
92,4.899,J THROMB HAEMOST,7,0,0,0,2,0,0,1,1,0,1,2,Translational Stroke Research
93,47.661,JAMA-J AM MED ASSOC,7,0,1,1,1,0,0,0,0,0,0,4,Translational Stroke Research
94,5.076,MOL NEUROBIOL,7,2,3,1,1,0,0,0,0,0,0,0,Translational Stroke Research
95,2.772,NEUROCHEM RES,7,0,0,3,1,0,1,0,0,1,0,1,Translational Stroke Research
96,4.122,SCI REP-UK,7,2,2,3,0,0,0,0,0,0,0,0,Translational Stroke Research
97, ,ARCH NEUROL-CHICAGO,6,0,0,0,0,0,0,0,0,0,0,6,Translational Stroke Research
98,9.130,CANCER RES,6,0,0,0,0,1,0,0,0,0,1,4,Translational Stroke Research
99,5.595,FASEB J,6,0,0,0,0,1,0,0,0,1,0,4,Translational Stroke Research
100,3.877,FRONT NEUROSCI-SWITZ,6,0,0,3,3,0,0,0,0,0,0,0,Translational Stroke Research
