,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1,,ALL Journals,2142,93,260,301,323,253,406,339,167,0,0,0,Wiley Interdisciplinary Reviews-RNA
2,,ALL OTHERS (296),296,11,49,35,55,30,58,43,15,0,0,0,Wiley Interdisciplinary Reviews-RNA
3,11.561,NUCLEIC ACIDS RES,122,6,15,26,14,10,33,15,3,0,0,0,Wiley Interdisciplinary Reviews-RNA
4,4.122,SCI REP-UK,84,0,9,8,19,6,23,14,5,0,0,0,Wiley Interdisciplinary Reviews-RNA
5,5.216,RNA BIOL,67,0,8,11,7,15,9,15,2,0,0,0,Wiley Interdisciplinary Reviews-RNA
6,5.844,WIRES RNA,62,3,7,11,9,6,5,13,8,0,0,0,Wiley Interdisciplinary Reviews-RNA
7,4.490,RNA,56,1,7,11,5,5,7,15,5,0,0,0,Wiley Interdisciplinary Reviews-RNA
8,,ONCOTARGET,47,1,7,11,10,1,11,3,3,0,0,0,Wiley Interdisciplinary Reviews-RNA
9,2.766,PLOS ONE,41,0,4,6,5,6,8,4,8,0,0,0,Wiley Interdisciplinary Reviews-RNA
10,12.353,NAT COMMUN,40,3,6,6,6,3,7,5,4,0,0,0,Wiley Interdisciplinary Reviews-RNA
11,3.998,METHODS,28,1,1,0,9,2,7,4,4,0,0,0,Wiley Interdisciplinary Reviews-RNA
12,9.504,P NATL ACAD SCI USA,26,1,0,5,6,2,4,5,3,0,0,0,Wiley Interdisciplinary Reviews-RNA
13,3.930,HUM GENET,25,7,3,3,2,6,2,1,1,0,0,0,Wiley Interdisciplinary Reviews-RNA
14,4.019,FRONT MICROBIOL,22,0,5,2,3,3,3,5,1,0,0,0,Wiley Interdisciplinary Reviews-RNA
15,4.011,J BIOL CHEM,22,0,4,2,4,4,4,2,2,0,0,0,Wiley Interdisciplinary Reviews-RNA
16,,METHOD MOL BIOL,21,1,0,4,3,2,4,5,2,0,0,0,Wiley Interdisciplinary Reviews-RNA
17,8.032,CELL REP,19,0,3,0,5,3,4,4,0,0,0,0,Wiley Interdisciplinary Reviews-RNA
18,7.616,ELIFE,18,2,2,1,2,4,1,4,2,0,0,0,Wiley Interdisciplinary Reviews-RNA
19,3.191,GENES-BASEL,18,3,2,5,4,0,3,1,0,0,0,0,Wiley Interdisciplinary Reviews-RNA
20,3.247,INT J BIOCHEM CELL B,17,0,3,2,1,5,4,2,0,0,0,0,Wiley Interdisciplinary Reviews-RNA
21,15.678,TRENDS BIOCHEM SCI,17,0,1,4,0,1,4,5,2,0,0,0,Wiley Interdisciplinary Reviews-RNA
22,3.677,FRONT PLANT SCI,16,0,1,4,2,1,4,3,1,0,0,0,Wiley Interdisciplinary Reviews-RNA
