,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
1, ,ALL Journals,6908,63,431,681,623,535,515,430,399,365,314,2552,Wiley Interdisciplinary Reviews-RNA
2, ,ALL OTHERS (448),448,3,41,61,47,40,38,21,23,25,11,138,Wiley Interdisciplinary Reviews-RNA
3,11.561,NUCLEIC ACIDS RES,373,3,34,37,43,30,36,23,28,20,7,112,Wiley Interdisciplinary Reviews-RNA
4,41.577,NATURE,307,4,7,24,23,23,27,18,23,14,26,118,Wiley Interdisciplinary Reviews-RNA
5,9.504,P NATL ACAD SCI USA,293,1,12,19,16,20,19,18,11,17,11,149,Wiley Interdisciplinary Reviews-RNA
6,31.398,CELL,287,2,10,26,19,17,25,9,16,31,5,127,Wiley Interdisciplinary Reviews-RNA
7,4.490,RNA,227,0,9,25,16,22,14,11,17,16,16,81,Wiley Interdisciplinary Reviews-RNA
8,4.011,J BIOL CHEM,217,0,1,7,13,9,12,10,13,12,8,132,Wiley Interdisciplinary Reviews-RNA
9,41.058,SCIENCE,213,4,16,18,13,7,12,7,14,9,14,99,Wiley Interdisciplinary Reviews-RNA
10,14.248,MOL CELL,203,1,10,14,22,17,20,21,17,9,10,62,Wiley Interdisciplinary Reviews-RNA
11,3.813,MOL CELL BIOL,158,1,3,3,4,4,8,7,8,7,6,107,Wiley Interdisciplinary Reviews-RNA
12,10.557,EMBO J,146,1,1,3,1,5,6,6,9,4,5,105,Wiley Interdisciplinary Reviews-RNA
13,9.462,GENE DEV,141,0,5,7,9,2,6,6,9,10,10,77,Wiley Interdisciplinary Reviews-RNA
14,13.333,NAT STRUCT MOL BIOL,114,1,5,7,6,11,15,10,7,13,9,30,Wiley Interdisciplinary Reviews-RNA
15,2.766,PLOS ONE,109,0,10,17,22,11,17,10,11,1,5,5,Wiley Interdisciplinary Reviews-RNA
16,4.894,J MOL BIOL,85,0,3,0,1,2,0,0,4,4,4,67,Wiley Interdisciplinary Reviews-RNA
17,2.997,BIOCHEMISTRY-US,71,0,4,3,4,6,7,5,3,0,1,38,Wiley Interdisciplinary Reviews-RNA
18,41.465,NAT REV GENET,70,1,4,7,17,4,4,4,4,5,3,17,Wiley Interdisciplinary Reviews-RNA
19,5.399,J CHEM THEORY COMPUT,63,3,7,19,12,4,7,4,4,1,0,2,Wiley Interdisciplinary Reviews-RNA
20,5.540,PLOS GENET,62,0,0,11,3,18,7,8,4,5,2,4,Wiley Interdisciplinary Reviews-RNA
21,5.844,WIRES RNA,62,3,7,11,9,6,5,13,8,0,0,0,Wiley Interdisciplinary Reviews-RNA
22,13.214,GENOME BIOL,61,0,3,9,17,8,2,2,6,5,2,7,Wiley Interdisciplinary Reviews-RNA
23,14.357,J AM CHEM SOC,60,0,2,2,5,3,2,1,1,2,6,36,Wiley Interdisciplinary Reviews-RNA
24,10.101,GENOME RES,56,0,2,3,6,4,11,3,1,5,2,19,Wiley Interdisciplinary Reviews-RNA
25,8.784,J CELL BIOL,51,0,2,0,2,4,2,1,3,2,1,34,Wiley Interdisciplinary Reviews-RNA
26,8.032,CELL REP,50,1,10,8,12,11,8,0,0,0,0,0,Wiley Interdisciplinary Reviews-RNA
27,6.854,ONCOGENE,50,0,6,3,3,1,2,3,2,5,2,23,Wiley Interdisciplinary Reviews-RNA
28,35.612,NAT REV MOL CELL BIO,48,0,4,6,3,2,3,1,3,3,1,22,Wiley Interdisciplinary Reviews-RNA
29,12.353,NAT COMMUN,47,3,8,10,14,8,1,2,1,0,0,0,Wiley Interdisciplinary Reviews-RNA
30,5.216,RNA BIOL,47,3,4,0,5,14,4,4,5,4,2,2,Wiley Interdisciplinary Reviews-RNA
31,4.368,J VIROL,45,0,1,2,2,3,0,0,0,1,2,34,Wiley Interdisciplinary Reviews-RNA
32,4.902,HUM MOL GENET,44,0,1,5,3,5,2,5,2,3,0,18,Wiley Interdisciplinary Reviews-RNA
33,4.122,SCI REP-UK,42,3,20,10,3,2,3,1,0,0,0,0,Wiley Interdisciplinary Reviews-RNA
34,27.125,NAT GENET,41,0,3,3,3,1,2,5,2,0,6,16,Wiley Interdisciplinary Reviews-RNA
35,3.146,J PHYS CHEM B,38,0,2,7,3,2,3,4,5,1,4,7,Wiley Interdisciplinary Reviews-RNA
36,26.919,NAT METHODS,36,0,2,9,9,3,1,0,6,2,1,3,Wiley Interdisciplinary Reviews-RNA
37,3.730,BMC GENOMICS,35,0,4,5,6,6,4,1,1,2,1,5,Wiley Interdisciplinary Reviews-RNA
38,3.512,MOL BIOL CELL,35,0,3,0,3,3,2,4,3,1,0,16,Wiley Interdisciplinary Reviews-RNA
39,3.816,MOL MICROBIOL,35,0,1,2,1,1,2,2,2,2,6,16,Wiley Interdisciplinary Reviews-RNA
40,5.481,BIOINFORMATICS,33,0,2,3,0,5,5,5,0,6,0,7,Wiley Interdisciplinary Reviews-RNA
41,9.130,CANCER RES,32,0,2,2,1,1,0,2,2,3,5,14,Wiley Interdisciplinary Reviews-RNA
42,3.219,J BACTERIOL,31,0,3,1,0,3,2,1,0,0,0,21,Wiley Interdisciplinary Reviews-RNA
43,8.228,PLANT CELL,31,0,0,2,0,3,6,0,1,2,0,17,Wiley Interdisciplinary Reviews-RNA
44,35.724,NAT BIOTECHNOL,29,0,2,1,4,1,3,4,1,3,0,10,Wiley Interdisciplinary Reviews-RNA
