Cited Journal Data: undefined,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Rest
1,,ALL Journals,366,0,15,99,42,113,70,27,0,0,0,0
2,,ALL OTHERS (126),126,0,4,43,11,39,21,8,0,0,0,0
3,3.319,BIOL PSYCHIAT,12,0,0,1,3,7,0,1,0,0,0,0
4,3.260,EXP NEUROL,11,0,0,1,6,3,1,0,0,0,0,0
5,7.909,INT REV CYTOL,7,0,0,0,0,0,7,0,0,0,0,0
6,1.506,DRUG DEVELOP RES,6,0,0,0,0,0,5,1,0,0,0,0
7,0.219,ACTA BIOL HUNG,5,0,0,0,5,0,0,0,0,0,0,0
8,8.321,ANN NEUROL,5,0,1,3,0,0,1,0,0,0,0,0
9,2.047,EUR J PHARMACOL,5,0,0,2,0,3,0,0,0,0,0,0
10,1.685,J NEUROL SCI,5,0,0,2,0,0,3,0,0,0,0,0
11,0.265,REV NEUROLOGIA,5,0,0,1,0,1,3,0,0,0,0,0
12,3.030,SCHIZOPHR RES,5,0,0,0,0,5,0,0,0,0,0,0
13,1.433,ALCOHOL,4,0,0,0,0,4,0,0,0,0,0,0
14,2.013,ALCOHOL CLIN EXP RES,4,0,0,0,0,4,0,0,0,0,0,0
15,2.759,CEPHALALGIA,4,0,4,0,0,0,0,0,0,0,0,0
16,3.218,EPILEPSIA,4,0,0,0,0,0,4,0,0,0,0,0
17,4.858,INVEST OPHTH VIS SCI,4,0,0,4,0,0,0,0,0,0,0,0
18,3.404,J NEUROTRAUM,4,0,0,1,3,0,0,0,0,0,0,0
19,2.175,NEUROCHEM INT,4,0,0,1,0,3,0,0,0,0,0,0
20,4.858,NEUROPSYCHOPHARMACOL,4,0,0,0,0,4,0,0,0,0,0,0
21,3.924,NEUROSCIENCE,4,0,0,1,1,2,0,0,0,0,0,0
22,1.619,ACTA PSYCHIAT SCAND,3,0,0,1,0,2,0,0,0,0,0,0
23,10.952,ARCH GEN PSYCHIAT,3,0,0,0,0,3,0,0,0,0,0,0
24,4.154,BRAIN PATHOL,3,0,0,0,3,0,0,0,0,0,0,0
25,2.302,BRAIN RES,3,0,0,1,0,1,0,1,0,0,0,0
26,1.759,BRIT J OPHTHALMOL,3,0,0,0,0,0,3,0,0,0,0,0
27,,DEV PSYCHOPATHOL,3,0,0,0,0,3,0,0,0,0,0,0
28,2.193,EPILEPSY RES,3,0,0,0,1,0,2,0,0,0,0,0
29,7.145,J IMMUNOL,3,0,0,2,0,1,0,0,0,0,0,0
30,4.283,J LEUKOCYTE BIOL,3,0,0,1,0,0,2,0,0,0,0,0
31,2.986,J MED GENET,3,0,0,0,0,1,2,0,0,0,0,0
32,2.846,J NEUROL,3,0,0,0,0,1,2,0,0,0,0,0
33,2.152,J PSYCHIAT RES,3,0,0,0,0,3,0,0,0,0,0,0
34,5.232,NEUROLOGY,3,0,1,1,0,0,1,0,0,0,0,0
35,2.575,NEUROPATH APPL NEURO,3,0,0,1,1,1,0,0,0,0,0,0
36,10.260,P NATL ACAD SCI USA,3,0,2,1,0,0,0,0,0,0,0,0
37,2.650,PHILOS T ROY SOC B,3,0,0,1,1,1,0,0,0,0,0,0
38,,PSYCHIAT CLIN N AM,3,0,0,2,0,1,0,0,0,0,0,0
39,2.918,PSYCHOPHARMACOLOGY,3,0,0,0,0,2,0,1,0,0,0,0
40,2.402,ACTA NEUROPATHOL,2,0,0,2,0,0,0,0,0,0,0,0
41,0.446,ADV EXP MED BIOL,2,0,0,0,0,0,1,1,0,0,0,0
42,6.436,AM J PATHOL,2,0,0,0,0,0,0,2,0,0,0,0
43,3.863,ARCH NEUROL-CHICAGO,2,0,0,0,0,0,0,2,0,0,0,0
44,7.374,BRAIN,2,0,0,0,0,2,0,0,0,0,0,0
45,0.375,CAN FAM PHYSICIAN,2,0,0,2,0,0,0,0,0,0,0,0
46,1.752,CELL MOL NEUROBIOL,2,0,0,0,0,0,0,2,0,0,0,0
47,,CLIN NEUROPHYSIOL,2,0,0,0,1,0,1,0,0,0,0,0
48,2.093,DRUG AGING,2,0,0,0,0,2,0,0,0,0,0,0
49,2.462,ENVIRON TOXICOL CHEM,2,0,0,2,0,0,0,0,0,0,0,0
50,5.237,GENE THER,2,0,0,0,2,0,0,0,0,0,0,0
51,1.177,GRAEF ARCH CLIN EXP,2,0,0,0,0,0,2,0,0,0,0,0
52,9.359,HUM MOL GENET,2,0,0,0,0,2,0,0,0,0,0,0
53,1.563,INT J GERIATR PSYCH,2,0,0,1,0,0,1,0,0,0,0,0
54,1.829,INT J PSYCHOPHYSIOL,2,0,0,1,0,1,0,0,0,0,0,0
55,7.666,J BIOL CHEM,2,0,1,0,0,1,0,0,0,0,0,0
56,5.714,J CEREBR BLOOD F MET,2,0,0,2,0,0,0,0,0,0,0,0
57,2.552,J CHEM NEUROANAT,2,0,0,0,0,0,0,2,0,0,0,0
58,1.095,J CHILD NEUROL,2,0,1,0,1,0,0,0,0,0,0,0
59,3.764,J COMP NEUROL,2,0,0,1,0,0,1,0,0,0,0,0
60,1.688,J NEURAL TRANSM,2,0,0,0,0,2,0,0,0,0,0,0
61,4.906,J NEUROCHEM,2,0,0,1,1,0,0,0,0,0,0,0
62,3.935,J NEUROPHYSIOL,2,0,0,0,0,1,1,0,0,0,0,0
63,3.209,J NEUROPSYCH CLIN N,2,0,1,0,0,1,0,0,0,0,0,0
64,3.126,J NEUROSCI RES,2,0,0,1,1,0,0,0,0,0,0,0
65,3.346,J NEUROSURG,2,0,0,2,0,0,0,0,0,0,0,0
66,2.486,J UROLOGY,2,0,0,0,0,0,2,0,0,0,0,0
67,1.706,JMRI-J MAGN RESON IM,2,0,0,1,0,1,0,0,0,0,0,0
68,0.678,MED HYPOTHESES,2,0,0,1,0,0,0,1,0,0,0,0
69,4.068,METHOD ENZYMOL,2,0,0,0,0,0,0,2,0,0,0,0
70,4.411,MOL MED TODAY,2,0,0,2,0,0,0,0,0,0,0,0
71,5.023,NEUROBIOL DIS,2,0,0,2,0,0,0,0,0,0,0,0
72,1.755,NEUROCHEM RES,2,0,0,1,0,0,1,0,0,0,0,0
73,8.930,NEUROIMAGE,2,0,0,1,0,1,0,0,0,0,0,0
74,0.158,NEUROL SURG TOKYO,2,0,0,1,1,0,0,0,0,0,0,0
75,16.782,NEURON,2,0,0,1,0,0,0,1,0,0,0,0
76,0.758,NEUROPSY NEUROPSY BE,2,0,0,1,0,0,0,1,0,0,0,0
77,0.348,PSYCHIAT CLIN NEUROS,2,0,0,0,0,0,2,0,0,0,0,0
78,,RUSS J GENET+,2,0,0,0,0,1,0,1,0,0,0,0
79,6.579,SCHIZOPHRENIA BULL,2,0,0,0,0,2,0,0,0,0,0,0
80,5.528,STROKE,2,0,0,2,0,0,0,0,0,0,0,0
81,0.117,ZH NEVROPATOL PSIKH,2,0,0,0,0,1,1,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
