Cited Journal Data: NEUROIMAGE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
1,,ALL Journals,92719,1156,4157,4850,7801,6595,10484,7641,7530,5641,4674,32190
2,,ALL OTHERS (1236),1236,15,59,41,95,84,109,115,104,80,79,455
3,5.426,NEUROIMAGE,9138,138,641,740,876,920,1100,680,651,502,369,2521
4,4.927,HUM BRAIN MAPP,4186,49,153,240,379,343,486,330,336,242,209,1419
5,4.122,SCI REP-UK,4068,75,195,226,344,285,463,305,363,245,199,1368
6,2.766,PLOS ONE,2587,27,83,124,194,160,285,225,209,166,164,950
7,2.871,FRONT HUM NEUROSCI,2280,42,129,105,200,128,252,193,168,135,113,815
8,6.308,CEREB CORTEX,2118,10,60,126,185,205,245,191,171,96,78,751
9,3.869,NEUROIMAGE-CLIN,1813,9,76,94,129,107,228,156,144,114,88,668
10,3.877,FRONT NEUROSCI-SWITZ,1812,46,85,90,180,137,221,129,158,116,105,545
11,5.971,J NEUROSCI,1369,30,75,93,151,101,136,90,93,77,53,470
12,2.889,NEUROPSYCHOLOGIA,1322,15,78,58,66,56,121,99,92,80,59,598
13,,FRONT PSYCHOL,1100,16,44,46,76,58,101,106,93,42,56,462
14,4.907,CORTEX,1032,11,47,47,72,48,103,85,78,38,49,454
15,4.231,BRAIN STRUCT FUNCT,1008,4,44,62,91,68,121,78,89,72,45,334
16,3.719,BRAIN IMAGING BEHAV,987,1,8,31,51,59,134,76,81,63,49,434
17,8.037,NEUROSCI BIOBEHAV R,938,10,66,48,71,65,94,87,108,43,64,282
18,3.500,SOC COGN AFFECT NEUR,903,11,27,44,58,45,105,80,60,52,40,381
19,3.582,FRONT AGING NEUROSCI,890,14,36,45,64,74,91,76,83,80,32,295
20,3.382,NEUROSCIENCE,806,5,28,46,75,44,77,69,66,50,47,299
21,4.082,MAGN RESON MED,801,1,42,98,75,112,123,66,71,35,34,144
22,3.468,J COGNITIVE NEUROSCI,706,3,31,38,69,38,62,50,39,48,26,302
23,3.031,NMR BIOMED,650,5,41,78,54,76,138,86,47,25,21,79
24,2.455,PSYCHIAT RES-NEUROIM,625,1,11,18,26,33,67,47,57,58,28,279
25,4.454,NEUROBIOL AGING,620,5,29,22,42,41,77,54,60,57,26,207
26,3.476,J ALZHEIMERS DIS,583,4,19,18,22,46,70,56,45,44,29,230
27,3.508,FRONT NEUROL,562,11,16,24,39,33,73,49,44,35,32,206
28,2.219,BRAIN BEHAV,518,2,16,26,46,45,62,43,53,26,34,165
29,10.848,BRAIN,510,11,29,28,39,27,68,36,41,31,23,177
30,3.173,BEHAV BRAIN RES,487,3,18,28,32,28,69,42,55,18,20,174
31,2.851,BRAIN LANG,479,2,12,12,26,24,57,28,44,27,21,226
32,5.356,MED IMAGE ANAL,454,7,17,22,33,31,48,47,42,41,23,143
33,,PROC SPIE,447,5,24,13,49,31,55,42,36,38,19,135
34,3.614,CLIN NEUROPHYSIOL,446,6,34,38,55,38,56,31,35,23,21,109
35,9.504,P NATL ACAD SCI USA,440,9,26,33,44,40,38,25,39,22,22,142
36,4.129,NEUROPHOTONICS,413,4,12,13,83,15,55,30,31,20,11,139
37,2.703,BRAIN TOPOGR,410,3,14,21,31,29,47,34,55,34,20,122
38,2.564,MAGN RESON IMAGING,408,2,20,31,25,30,65,39,30,16,24,126
39,2.668,J NEUROSCI METH,391,5,17,21,32,40,45,43,31,30,15,112
40,3.786,J AFFECT DISORDERS,389,1,7,16,37,33,50,21,28,29,13,154
41,7.616,ELIFE,383,10,19,21,38,38,42,34,33,20,19,109
42,6.045,J CEREBR BLOOD F MET,378,0,16,17,44,33,42,23,26,25,25,127
43,4.691,TRANSL PSYCHIAT,361,4,12,13,28,18,44,27,40,25,14,136
44,3.074,FRONT NEUROINFORM,355,14,22,26,19,30,49,37,33,17,18,90
45,2.832,EUR J NEUROSCI,339,3,13,18,35,21,25,27,29,20,20,128
46,2.502,J NEUROPHYSIOL,326,8,22,16,35,19,26,20,26,15,32,107
47,3.612,J MAGN RESON IMAGING,322,2,18,32,26,29,53,25,22,18,24,73
48,3.653,AM J NEURORADIOL,320,5,14,25,25,10,39,23,27,25,15,112
49,2.574,BRAIN COGNITION,320,1,11,10,22,9,25,25,24,14,18,161
50,3.125,BRAIN RES,306,2,8,6,27,15,24,20,23,25,16,140
51,2.891,BIOL PSYCHOL,302,1,18,16,23,12,21,21,36,16,9,129
52,2.565,COGN AFFECT BEHAV NE,300,1,6,10,21,11,21,24,24,20,9,153
53,12.353,NAT COMMUN,297,7,12,22,28,18,32,24,24,17,10,103
54,2.159,NEUROSCI LETT,288,2,5,13,23,22,25,27,22,15,15,119
55,2.086,LANG COGN NEUROSCI,285,1,22,22,32,19,27,17,28,18,10,89
56,5.002,J NEUROTRAUM,279,2,8,4,31,17,34,28,16,18,22,99
57,,2017 IEEE 14 INT SXB,276,1,10,14,19,42,32,38,20,21,15,64
58,4.815,DEV COGN NEUROS-NETH,273,3,12,20,25,20,34,18,19,13,14,95
59,19.912,NAT NEUROSCI,273,5,39,23,21,35,28,23,16,16,13,54
60,3.118,PSYCHOPHYSIOLOGY,272,2,11,7,32,12,24,30,22,16,12,104
61,3.138,FRONT BEHAV NEUROSCI,270,0,12,10,21,14,23,24,21,16,17,112
62,,P ANN INT IEEE EMBS,264,2,12,12,33,29,27,19,23,21,10,76
63,1.806,EXP BRAIN RES,261,3,11,6,22,17,13,21,10,16,17,125
64,5.475,PSYCHOL MED,261,0,5,13,18,21,23,14,21,14,14,118
65,15.557,TRENDS COGN SCI,258,18,28,20,25,28,29,24,17,10,9,50
66,14.319,NEURON,256,16,24,20,24,25,26,9,15,10,12,75
67,11.984,BIOL PSYCHIAT,249,2,9,8,38,18,41,22,27,11,8,65
68,,ENEURO,240,11,16,21,23,15,24,15,14,9,12,80
69,3.955,PLOS COMPUT BIOL,238,2,14,16,26,23,22,21,24,13,19,58
70,1.275,NEUROIMAG CLIN N AM,235,11,20,19,11,32,33,15,18,15,11,50
71,6.544,NEUROPSYCHOPHARMACOL,231,1,12,15,23,10,39,14,21,20,10,66
72,3.958,SCHIZOPHR RES,229,1,0,3,12,12,30,12,23,7,11,118
73,2.346,NEURORADIOLOGY,219,0,4,10,10,13,19,20,16,17,16,94
74,2.662,J NEUROSCI RES,215,0,6,12,25,19,19,19,14,12,14,75
75,2.857,FRONT PSYCHIATRY,212,6,6,10,14,10,25,15,21,17,15,73
76,3.161,NEURAL PLAST,210,2,7,8,13,11,20,9,24,16,8,92
77,3.920,J NEURAL ENG,202,0,15,14,22,8,25,27,21,9,13,48
78,2.575,SOC NEUROSCI-UK,201,0,2,2,14,13,20,28,14,12,12,84
79,11.640,MOL PSYCHIATR,197,0,8,16,14,22,23,14,19,11,9,61
80,2.824,HEARING RES,193,3,9,9,24,8,9,10,23,9,8,81
81,2.868,INT J PSYCHOPHYSIOL,192,2,1,8,25,10,15,24,18,12,7,70
82,3.152,FRONT NEUROANAT,178,5,5,9,14,15,21,13,14,9,16,57
83,6.131,IEEE T MED IMAGING,178,3,8,11,12,10,23,18,14,16,7,56
84,5.578,ADDICT BIOL,177,0,1,2,13,9,25,8,12,4,12,91
