Journal Profile: NEUROIMAGE,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile
2017,"92,719",5.426,4.593,7.079,1.405,823,7.5,7.8,0.152,2.312,99.51,17.80900,91.04600
2016,"85,630",5.835,5.062,6.943,1.275,890,7.1,8.0,0.1728,2.441,99.66,19.84758,93.31200
2015,"79,475",5.463,4.735,6.797,1.160,770,6.7,7.7,0.17977,2.321,99.35,20.49004,93.09100
2014,"78,028",6.357,5.297,7.289,1.500,"1,033",6.5,7.5,0.17239,2.257,93.51,19.30823,95.03400
2013,"69,654",6.132,5.198,6.956,1.479,873,6.2,7.2,0.17268,2.214,98.28,19.03227,91.82600
2012,"61,770",6.252,4.987,7.063,1.291,"1,222",6.0,7.4,0.16507,2.285,88.38,Not Available,92.36100
2011,"50,569",5.895,4.766,6.608,1.237,"1,024",5.7,7.1,0.15356,2.162,98.73,Not Available,94.47100
2010,"44,083",5.937,4.777,6.821,1.229,970,5.4,6.9,0.15347,2.274,97.84,Not Available,94.51600
2009,"40,455",5.739,4.816,7.168,1.094,722,5.1,6.9,0.1633,2.386,94.18,Not Available,91.20800
2008,"32,622",5.694,4.681,6.884,0.984,743,4.6,6.7,0.15549,2.317,96.90,Not Available,94.01000
2007,"26,201",5.457,4.480,6.825,0.900,677,4.3,6.6,0.15479,2.459,96.90,Not Available,90.78400
2006,"20,723",5.559,4.372,Not Available,0.673,761,4.1,6.5,Not Available,Not Available,97.77,Not Available,94.38000
2005,"16,113",5.288,4.280,Not Available,0.668,576,3.7,6.3,Not Available,Not Available,97.57,Not Available,94.79800
2004,"11,323",4.869,3.755,Not Available,0.601,531,3.5,5.9,Not Available,Not Available,97.93,Not Available,93.63300
2003,"8,895",6.192,4.668,Not Available,0.364,483,3.3,5.7,Not Available,Not Available,97.93,Not Available,96.07600
2002,"5,752",5.624,4.225,Not Available,0.537,356,3.4,5.6,Not Available,Not Available,98.88,Not Available,95.21300
2001,"4,684",7.879,5.610,Not Available,0.784,268,3.1,5.1,Not Available,Not Available,97.76,Not Available,96.41000
2000,"2,819",6.857,5.798,Not Available,0.478,136,3.1,5.3,Not Available,Not Available,97.79,Not Available,96.30000
1999,"2,087",8.930,7.625,Not Available,0.785,121,2.7,5.3,Not Available,Not Available,97.52,Not Available,98.06300
1998,"1,041",5.611,4.847,Not Available,0.632,68,2.3,4.7,Not Available,Not Available,97.06,Not Available,96.09400
1997,562,4.311,3.640,Not Available,1.000,60,1.8,4.9,Not Available,Not Available,95.00,Not Available,91.50000
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
