,Unnamed: 0,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
0,1,,ALL Journals,30640,943,3031,3690,4019,3872,3309,3266,3607,2126,1315,1462,Acta Biomaterialia
1,2,,ALL OTHERS (881),881,31,99,109,137,93,85,73,85,50,57,62,Acta Biomaterialia
2,3,5.08,MAT SCI ENG C-MATER,1662,5,113,167,172,219,218,202,263,129,96,78,Acta Biomaterialia
3,4,6.382999999999999,ACTA BIOMATER,1554,87,223,239,192,218,177,143,154,54,24,43,Acta Biomaterialia
4,5,4.776,J MATER CHEM B,731,38,114,112,91,92,63,81,61,41,16,22,Acta Biomaterialia
5,6,8.097000000000001,ACS APPL MATER INTER,722,45,106,119,104,75,64,59,61,48,22,19,Acta Biomaterialia
6,7,4.122,SCI REP-UK,692,30,94,79,105,91,69,58,77,45,25,19,Acta Biomaterialia
7,8,,WOODH PUBL SER BIOM,586,13,27,62,88,90,59,67,83,42,22,33,Acta Biomaterialia
8,9,3.239,J MECH BEHAV BIOMED,502,13,49,50,41,73,61,51,64,31,34,35,Acta Biomaterialia
9,10,4.4319999999999995,ACS BIOMATER SCI ENG,472,20,56,61,57,56,45,44,61,35,16,21,Acta Biomaterialia
10,11,3.2310000000000003,J BIOMED MATER RES A,471,6,38,52,59,66,62,47,62,35,20,24,Acta Biomaterialia
11,12,8.806000000000001,BIOMATERIALS,452,21,70,73,74,58,40,35,41,21,6,13,Acta Biomaterialia
12,13,2.9360000000000004,RSC ADV,445,21,42,53,57,61,44,57,46,39,11,14,Acta Biomaterialia
13,14,3.508,TISSUE ENG,399,8,47,52,62,61,58,46,25,22,7,11,Acta Biomaterialia
14,15,3.997,COLLOID SURFACE B,377,11,49,46,54,47,41,33,42,25,9,20,Acta Biomaterialia
15,16,5.609,ADV HEALTHC MATER,371,12,52,57,47,46,37,46,28,28,11,7,Acta Biomaterialia
16,17,2.467,MATERIALS,354,13,27,28,37,38,46,49,51,30,22,13,Acta Biomaterialia
17,18,3.057,CERAM INT,303,2,20,13,21,43,34,45,53,33,15,24,Acta Biomaterialia
