,Unnamed: 0,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
0,1, ,ALL Journals,39740,485,2670,3581,3530,3373,3031,2792,2635,2035,1855,13753,Acta Biomaterialia
1,2, ,ALL OTHERS (2380),2380,37,169,193,193,181,167,154,120,108,108,950,Acta Biomaterialia
2,3,8.806,BIOMATERIALS,3167,27,154,227,292,282,259,314,314,207,142,949,Acta Biomaterialia
3,4,6.383,ACTA BIOMATER,1554,87,223,239,192,218,177,143,154,54,24,43,Acta Biomaterialia
4,5,3.508,TISSUE ENG,754,9,45,72,72,75,56,87,79,65,36,158,Acta Biomaterialia
5,6,7.877,J CONTROL RELEASE,613,9,57,58,57,45,67,43,50,26,21,180,Acta Biomaterialia
6,7,3.231,J BIOMED MATER RES A,558,7,29,35,49,45,27,29,62,43,42,190,Acta Biomaterialia
7,8,9.504,P NATL ACAD SCI USA,506,1,14,33,28,40,28,27,60,36,32,207,Acta Biomaterialia
8,9,5.738,BIOMACROMOLECULES,401,5,24,39,46,34,33,46,31,18,22,103,Acta Biomaterialia
9,10,2.766,PLOS ONE,393,7,15,55,68,91,62,48,23,14,6,4,Acta Biomaterialia
10,11,21.950,ADV MATER,368,3,31,37,38,60,35,33,24,36,12,59,Acta Biomaterialia
11,12,13.660,ADV DRUG DELIVER REV,362,3,31,26,20,41,37,27,20,23,19,115,Acta Biomaterialia
12,13,13.709,ACS NANO,344,2,17,60,61,61,46,42,31,15,8,1,Acta Biomaterialia
13,14,41.058,SCIENCE,329,0,11,6,8,13,20,4,14,27,10,216,Acta Biomaterialia
14,15,41.577,NATURE,322,1,6,17,16,14,13,25,14,23,9,184,Acta Biomaterialia
15,16,4.011,J BIOL CHEM,300,0,5,2,13,3,6,20,11,12,11,217,Acta Biomaterialia
16,17,8.097,ACS APPL MATER INTER,288,13,83,85,57,23,12,7,4,4,0,0,Acta Biomaterialia
17,18,2.431,J BIOMECH,279,0,4,18,22,15,10,7,27,11,9,156,Acta Biomaterialia
18,19,14.357,J AM CHEM SOC,274,1,8,13,11,15,27,28,22,22,17,110,Acta Biomaterialia
19,20,39.235,NAT MATER,257,2,16,27,45,30,16,18,17,31,16,39,Acta Biomaterialia
20,21,3.789,LANGMUIR,255,3,13,9,22,32,35,21,16,9,18,77,Acta Biomaterialia
21,22,4.122,SCI REP-UK,246,14,98,69,35,23,2,5,0,0,0,0,Acta Biomaterialia
22,23, ,J BIOMED MATER RES,240,0,0,0,0,1,0,0,1,0,1,237,Acta Biomaterialia
23,24,4.776,J MATER CHEM B,235,3,52,76,58,45,0,0,0,0,0,1,Acta Biomaterialia
24,25,2.448,J MATER SCI-MATER M,232,2,11,17,13,22,16,10,28,8,25,80,Acta Biomaterialia
25,26,3.862,INT J PHARMACEUT,212,3,16,21,22,17,19,10,13,9,11,71,Acta Biomaterialia
26,27,3.414,J ORTHOP RES,212,4,10,14,6,14,10,9,9,15,12,109,Acta Biomaterialia
27,28,5.080,MAT SCI ENG C-MATER,211,14,50,28,21,30,12,14,12,13,3,14,Acta Biomaterialia
28,29,3.495,BIOPHYS J,202,0,3,5,7,15,6,14,11,11,22,108,Acta Biomaterialia
29,30,31.398,CELL,199,1,4,9,6,6,9,7,8,2,11,136,Acta Biomaterialia
30,31,13.325,ADV FUNCT MATER,191,3,17,34,24,18,23,21,12,9,10,20,Acta Biomaterialia
31,32,12.102,ANGEW CHEM INT EDIT,190,0,9,11,19,18,19,19,26,14,12,43,Acta Biomaterialia
32,33,3.373,J BIOMED MATER RES B,186,5,17,16,13,11,19,10,14,20,11,50,Acta Biomaterialia
33,34,3.239,J MECH BEHAV BIOMED,179,7,21,27,31,25,26,18,9,11,3,1,Acta Biomaterialia
34,35,5.609,ADV HEALTHC MATER,166,5,43,37,40,25,16,0,0,0,0,0,Acta Biomaterialia
35,36,5.914,MACROMOLECULES,166,1,5,13,8,7,9,6,7,8,10,92,Acta Biomaterialia
