,Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
0,2017,"30,640",6.383,5.943,7.160,1.46,646,4.9,7.1,0.049,1.432,94.43,5.76700,93.969,Acta Biomaterialia
1,2016,"25,350",6.319,5.981,6.804,1.113,549,4.7,7.1,0.05117,1.476,94.54,5.87409,96.104,Acta Biomaterialia
2,2015,"20,966",6.008,5.635,6.383,1.208,504,4.3,7.0,0.05381,1.461,97.62,6.13307,96.083,Acta Biomaterialia
3,2014,"18,776",6.025,5.635,6.589,1.337,496,3.9,7.1,0.05183,1.417,90.52,5.80441,96.083,Acta Biomaterialia
4,2013,"14,631",5.684,5.171,6.191,1.089,504,3.4,6.9,0.04606,1.371,97.02,5.07628,94.449,Acta Biomaterialia
5,2012,"10,169",5.093,4.656,5.378,0.903,453,2.9,6.9,0.0395,1.352,94.92,Not Available,95.64,Acta Biomaterialia
6,2011,"7,495",4.865,4.412,5.076,1.037,454,2.5,6.8,0.03116,1.315,96.04,Not Available,95.264,Acta Biomaterialia
7,2010,"4,824",4.824,4.243,5.224,0.877,529,2.3,6.9,0.02152,1.335,97.73,Not Available,93.214,Acta Biomaterialia
8,2009,"2,320",3.975,3.588,4.370,0.742,364,2.3,6.9,0.01155,1.189,98.35,Not Available,92.881,Acta Biomaterialia
9,2008,"1,176",3.727,3.387,4.255,0.491,216,2.3,6.9,0.00702,1.262,98.15,Not Available,87.5,Acta Biomaterialia
10,2007,486,3.113,2.929,3.128,0.409,110,2.2,6.4,0.0035,1.068,100.0,Not Available,90.625,Acta Biomaterialia
11,2006,165,2.132,1.941,Not Available,0.27399999999999997,73,1.4,7.1,Not Available,Not Available,100.0,Not Available,67.857,Acta Biomaterialia
12,2005,23,Not Available,Not Available,Not Available,0.33799999999999997,68,Not Available,6.4,Not Available,Not Available,100.0,Not Available,3.333,Acta Biomaterialia
0,2017,"18,786",15.876,15.252,13.552,3.464,110,7.1,6.8,0.041,5.207,83.64,4.84300,98.625,ACTA NEUROPATHOLOGICA
1,2016,"16,462",12.213,11.613,11.297,4.349,109,6.9,6.5,0.03698,4.410,75.23,4.24727,97.844,ACTA NEUROPATHOLOGICA
2,2015,"14,701",11.36,10.419,10.616,2.7430000000000003,109,6.7,6.1,0.03692,4.062,77.06,4.20817,97.526,ACTA NEUROPATHOLOGICA
3,2014,"13,098",10.762,9.79,9.762,2.5,116,6.7,5.7,0.03329,3.483,73.28,3.72863,97.61,ACTA NEUROPATHOLOGICA
4,2013,"12,284",9.777000000000001,8.907,8.854,2.717,120,6.5,5.9,0.03087,3.082,82.5,3.40198,96.744,ACTA NEUROPATHOLOGICA
5,2012,"11,664",9.734,9.02,8.562,2.565,124,6.8,5.9,0.03008,2.870,82.26,Not Available,97.012,ACTA NEUROPATHOLOGICA
6,2011,"10,562",9.32,8.482999999999999,7.280,2.158,114,7.3,6.3,0.02639,2.328,79.82,Not Available,96.705,ACTA NEUROPATHOLOGICA
7,2010,"9,540",7.695,6.638999999999999,5.963,1.929,127,8.1,6.0,0.02347,1.930,77.17,Not Available,96.009,ACTA NEUROPATHOLOGICA
8,2009,"8,563",6.397,5.483,4.444,1.983,117,8.9,6.8,0.01896,1.391,79.49,Not Available,94.915,ACTA NEUROPATHOLOGICA
9,2008,"7,726",5.31,4.635,3.787,1.672,119,8.9,6.6,0.01832,1.196,85.71,Not Available,91.189,ACTA NEUROPATHOLOGICA
10,2007,"6,759",3.179,2.69,2.824,1.236,123,9.7,6.8,0.01486,0.872,84.55,Not Available,75.081,ACTA NEUROPATHOLOGICA
11,2006,"6,567",2.694,2.338,Not Available,0.41700000000000004,132,9.6,6.5,Not Available,Not Available,91.67,Not Available,68.387,ACTA NEUROPATHOLOGICA
12,2005,"6,578",2.5269999999999997,2.12,Not Available,0.41200000000000003,136,9.3,6.9,Not Available,Not Available,89.71,Not Available,65.551,ACTA NEUROPATHOLOGICA
13,2004,"6,572",2.503,2.3209999999999997,Not Available,0.526,133,9.4,6.9,Not Available,Not Available,99.25,Not Available,68.827,ACTA NEUROPATHOLOGICA
14,2003,"6,490",2.556,2.261,Not Available,0.465,155,8.8,7.0,Not Available,Not Available,98.06,Not Available,71.286,ACTA NEUROPATHOLOGICA
15,2002,"6,720",2.283,2.0869999999999997,Not Available,0.523,153,8.7,6.6,Not Available,Not Available,99.35,Not Available,69.621,ACTA NEUROPATHOLOGICA
16,2001,"6,455",2.165,1.936,Not Available,0.226,168,8.6,6.8,Not Available,Not Available,99.4,Not Available,71.587,ACTA NEUROPATHOLOGICA
17,2000,"6,885",2.4459999999999997,2.146,Not Available,0.35200000000000004,199,8.5,6.7,Not Available,Not Available,99.5,Not Available,74.773,ACTA NEUROPATHOLOGICA
18,1999,"6,861",2.4019999999999997,2.181,Not Available,0.47700000000000004,176,8.1,6.7,Not Available,Not Available,97.73,Not Available,75.036,ACTA NEUROPATHOLOGICA
19,1998,"6,868",2.336,2.128,Not Available,0.243,185,7.8,6.7,Not Available,Not Available,100.0,Not Available,77.122,ACTA NEUROPATHOLOGICA
20,1997,"6,752",2.299,2.057,Not Available,0.287,178,7.6,6.3,Not Available,Not Available,98.88,Not Available,76.185,ACTA NEUROPATHOLOGICA
0,2017,"6,465",5.609,5.261,5.849,1.196,296,2.8,6.3,0.02,1.369,88.85,2.29500,83.503,Advanced Healthcare Materials
1,2016,"4,319",5.110,4.838,5.454,0.927,287,2.6,6.0,0.015,1.405,93.73,1.71999,85.602,Advanced Healthcare Materials
2,2015,"3,173",5.760,5.476,6.019,1.05,262,2.2,5.8,0.01133,1.560,94.66,1.29106,89.313,Advanced Healthcare Materials
3,2014,"1,857",5.797,5.509,5.812,1.273,209,1.7,5.7,0.00674,1.567,94.26,0.75519,89.065,Advanced Healthcare Materials
4,2013,687,4.880,4.336,4.880,1.285,179,1.3,5.9,0.0017,1.106,94.41,0.18687,85.938,Advanced Healthcare Materials
5,2012,58,Not Available,Not Available,Not Available,0.7120000000000001,80,Not Available,5.2,1e-05,Not Available,95.0,Not Available,5.556,Advanced Healthcare Materials
0,2017,"5,297",8.973,8.787,8.974,2.85,100,4.6,6.9,0.012,2.569,16.0,1.40900,92.664,AGEING RESEARCH REVIEWS
1,2016,"4,198",7.452,7.259,8.084,2.069,72,4.5,6.9,0.01132,2.444,4.17,1.30019,91.99,AGEING RESEARCH REVIEWS
2,2015,"3,482",7.526,7.389,7.328,1.2429999999999999,74,4.4,7.2,0.00992,2.171,2.7,1.13027,92.137,AGEING RESEARCH REVIEWS
3,2014,"2,986",6.634,6.492,7.194,1.574,61,4.1,6.3,0.00879,2.027,1.64,0.98415,90.94,AGEING RESEARCH REVIEWS
4,2013,"2,399",7.628,7.382,7.517,0.667,93,4.3,7.2,0.00726,2.125,0.0,0.79994,91.247,AGEING RESEARCH REVIEWS
5,2012,"1,965",5.953,5.813,6.549,1.439,41,4.0,7.4,0.00623,1.938,0.0,Not Available,88.539,AGEING RESEARCH REVIEWS
6,2011,"1,713",6.174,6.058,6.383,1.679,53,4.5,7.1,0.00572,2.025,1.89,Not Available,87.139,AGEING RESEARCH REVIEWS
